;Version, 1, 0
;S11 dB20,;S12 dB20,;S21 dB20,;S22 dB20
;X, Y,;X, Y,;X, Y,;X, Y
;Re, Re,;Re, Re,;Re, Re,;Re, Re
;freq, S-Param,;freq, S-Param,;freq, S-Param,;freq, S-Param
;Hz, dB,;Hz, dB,;Hz, dB,;Hz, dB
1066.596121230257,-0.1489440187350851,1066.596121230257,-317.7979921243665,1066.596121230257,-128.5807388952558,1066.596121230257,-5.34709936930778e-11
1069.054879222657,-0.1489440187355197,1069.054879222657,-317.7580004753652,1069.054879222657,-128.5607388953152,1069.054879222657,-5.371979017945008e-11
1071.519305237605,-0.1489440187359846,1071.519305237605,-317.7180087880122,1071.519305237605,-128.5407388953749,1071.519305237605,-5.396665801088926e-11
1073.989412341243,-0.1489440187364192,1073.989412341243,-317.6780170624834,1073.989412341243,-128.520738895435,1073.989412341243,-5.421834747966124e-11
1076.465213629833,-0.1489440187368734,1076.465213629833,-317.6380252989511,1076.465213629833,-128.5007388954956,1076.465213629833,-5.446810829350009e-11
1078.946722229827,-0.1489440187373198,1078.946722229827,-317.5980334975941,1078.946722229827,-128.4807388955565,1078.946722229827,-5.471979776227208e-11
1081.433951297936,-0.1489440187377583,1081.433951297936,-317.5580416585824,1081.433951297936,-128.4607388956178,1081.433951297936,-5.49734158859772e-11
1083.926914021202,-0.148944018738185,1083.926914021202,-317.5180497820884,1083.926914021202,-128.4407388956795,1083.926914021202,-5.522799833714889e-11
1086.425623617064,-0.1489440187386412,1086.425623617064,-317.4780578682884,1086.425623617064,-128.4207388957416,1086.425623617064,-5.54796878059209e-11
1088.930093333432,-0.1489440187390758,1088.930093333432,-317.4380659173505,1088.930093333432,-128.4007388958042,1088.930093333432,-5.573716323949227e-11
1091.440336448755,-0.1489440187395104,1091.440336448755,-317.3980739294439,1091.440336448755,-128.3807388958671,1091.440336448755,-5.599271001813054e-11
1093.956366272092,-0.1489440187399116,1093.956366272092,-317.3580819047421,1093.956366272092,-128.3607388959304,1093.956366272092,-5.625114977916849e-11
1096.478196143183,-0.1489440187403384,1096.478196143183,-317.3180898434134,1096.478196143183,-128.3407388959941,1096.478196143183,-5.651248252260613e-11
1099.005839432519,-0.1489440187407867,1099.005839432519,-317.2780977456258,1099.005839432519,-128.3207388960583,1099.005839432519,-5.677092228364409e-11
1101.539309541413,-0.1489440187412056,1101.539309541413,-317.2381056115426,1101.539309541413,-128.3007388961228,1101.539309541413,-5.703321935454831e-11
1104.078619902071,-0.1489440187416225,1104.078619902071,-317.1981134413371,1104.078619902071,-128.2807388961878,1104.078619902071,-5.730130239025188e-11
1106.623783977664,-0.1489440187420796,1106.623783977664,-317.1581212351697,1106.623783977664,-128.2607388962532,1106.623783977664,-5.756456378862266e-11
1109.174815262399,-0.1489440187424632,1109.174815262399,-317.118128993206,1109.174815262399,-128.2407388963189,1109.174815262399,-5.782782518699347e-11
1111.731727281589,-0.1489440187428978,1111.731727281589,-317.0781367156142,1111.731727281589,-128.2207388963851,1111.731727281589,-5.809494389523051e-11
1114.294533591727,-0.1489440187433265,1114.294533591727,-317.0381444025545,1114.294533591727,-128.2007388964517,1114.294533591727,-5.836109827600101e-11
1116.863247780559,-0.148944018743714,1116.863247780559,-316.9981520541933,1116.863247780559,-128.1807388965187,1116.863247780559,-5.86320742941043e-11
1119.437883467149,-0.1489440187441476,1119.437883467149,-316.9581596706862,1119.437883467149,-128.1607388965862,1119.437883467149,-5.890208598474104e-11
1122.018454301961,-0.1489440187445606,1122.018454301961,-316.9181672522018,1122.018454301961,-128.140738896654,1122.018454301961,-5.917499065777749e-11
1124.604973966924,-0.1489440187449628,1124.604973966924,-316.8781747988971,1124.604973966924,-128.1207388967223,1124.604973966924,-5.944885965828048e-11
1127.197456175508,-0.148944018745366,1127.197456175508,-316.8381823109279,1127.197456175508,-128.100738896791,1127.197456175508,-5.972272865878349e-11
1129.795914672795,-0.1489440187457908,1129.795914672795,-316.7981897884642,1129.795914672795,-128.0807388968601,1129.795914672795,-6.000045496915276e-11
1132.400363235554,-0.1489440187461969,1132.400363235554,-316.7581972316518,1132.400363235554,-128.0607388969297,1132.400363235554,-6.027721695205547e-11
1135.010815672312,-0.1489440187465834,1135.010815672312,-316.7182046406586,1135.010815672312,-128.0407388969996,1135.010815672312,-6.055590758989131e-11
1137.627285823428,-0.1489440187469611,1137.627285823428,-316.6782120156368,1137.627285823428,-128.0207388970701,1137.627285823428,-6.083556255519372e-11
1140.249787561165,-0.1489440187473692,1140.249787561165,-316.6382193567414,1140.249787561165,-128.0007388971409,1140.249787561165,-6.111328886556302e-11
1142.878334789768,-0.1489440187477822,1142.878334789768,-316.5982266641307,1142.878334789768,-127.9807388972122,1142.878334789768,-6.139487248579856e-11
1145.512941445532,-0.1489440187481668,1145.512941445532,-316.5582339379588,1145.512941445532,-127.9607388972838,1145.512941445532,-6.167934908843379e-11
1148.153621496879,-0.1489440187485621,1148.153621496879,-316.5182411783786,1148.153621496879,-127.940738897356,1148.153621496879,-6.196479001853559e-11
1150.800388944432,-0.1489440187489388,1150.800388944432,-316.4782483855453,1150.800388944432,-127.9207388974285,1150.800388944432,-6.225119527610396e-11
1153.453257821089,-0.1489440187493548,1153.453257821089,-316.4382555596112,1153.453257821089,-127.9007388975016,1153.453257821089,-6.253663620620579e-11
1156.112242192095,-0.1489440187497335,1156.112242192095,-316.3982627007263,1156.112242192095,-127.880738897575,1156.112242192095,-6.282786310110699e-11
1158.777356155122,-0.1489440187501082,1158.777356155122,-316.3582698090459,1158.777356155122,-127.8607388976489,1158.777356155122,-6.31142683586754e-11
1161.448613840339,-0.1489440187504918,1161.448613840339,-316.3182768847176,1161.448613840339,-127.8407388977232,1161.448613840339,-6.340645958104317e-11
1164.126029410487,-0.1489440187508743,1164.126029410487,-316.2782839278893,1164.126029410487,-127.820738897798,1164.126029410487,-6.369865080341096e-11
1166.809617060959,-0.1489440187512746,1166.809617060959,-316.2382909387137,1166.809617060959,-127.8007388978732,1166.809617060959,-6.399373500817842e-11
1169.499391019867,-0.1489440187516317,1169.499391019867,-316.198297917341,1169.499391019867,-127.7807388979488,1169.499391019867,-6.429074786787903e-11
1172.195365548126,-0.1489440187520163,1172.195365548126,-316.1583048639127,1172.195365548126,-127.7607388980249,1172.195365548126,-6.458776072757965e-11
1174.897554939525,-0.1489440187523949,1174.897554939525,-316.1183117785819,1174.897554939525,-127.7407388981015,1174.897554939525,-6.488380925981372e-11
1177.605973520803,-0.1489440187527638,1177.605973520803,-316.0783186614918,1177.605973520803,-127.7207388981785,1177.605973520803,-6.518371510191404e-11
1180.320635651726,-0.1489440187531169,1180.320635651726,-316.0383255127902,1180.320635651726,-127.7007388982559,1180.320635651726,-6.548458527148092e-11
1183.041555725161,-0.148944018753529,1183.041555725161,-315.9983323326193,1183.041555725161,-127.6807388983339,1183.041555725161,-6.578738409598093e-11
1185.768748167156,-0.1489440187538939,1185.768748167156,-315.9583391211265,1185.768748167156,-127.6607388984122,1185.768748167156,-6.609307590288065e-11
1188.502227437014,-0.1489440187542431,1188.502227437014,-315.9183458784553,1188.502227437014,-127.6407388984911,1188.502227437014,-6.639298174498101e-11
1191.24200802737,-0.1489440187546061,1191.24200802737,-315.8783526047474,1191.24200802737,-127.6207388985704,1191.24200802737,-6.66996378793473e-11
1193.988104464269,-0.1489440187549769,1193.988104464269,-315.8383593001479,1193.988104464269,-127.6007388986501,1193.988104464269,-6.700629401371361e-11
1196.740531307239,-0.1489440187553271,1196.740531307239,-315.7983659647953,1196.740531307239,-127.5807388987303,1196.740531307239,-6.731873611287929e-11
1199.499303149374,-0.148944018755694,1199.499303149374,-315.7583725988339,1199.499303149374,-127.560738898811,1199.499303149374,-6.762924955711186e-11
1202.264434617408,-0.1489440187560747,1202.264434617408,-315.7183792024011,1202.264434617408,-127.5407388988921,1202.264434617408,-6.794169165627756e-11
1205.035940371793,-0.1489440187564161,1205.035940371793,-315.678385775638,1205.035940371793,-127.5207388989737,1205.035940371793,-6.825509808290984e-11
1207.813835106775,-0.1489440187567683,1207.813835106775,-315.6383923186848,1207.813835106775,-127.5007388990558,1207.813835106775,-6.85713974919418e-11
1210.598133550477,-0.1489440187571292,1210.598133550477,-315.5983988316786,1210.598133550477,-127.4807388991384,1210.598133550477,-6.888866122844035e-11
1213.388850464972,-0.1489440187574638,1213.388850464972,-315.5584053147629,1213.388850464972,-127.4607388992214,1213.388850464972,-6.920785361987202e-11
1216.186000646363,-0.1489440187578228,1216.186000646363,-315.51841176807,1216.186000646363,-127.4407388993049,1216.186000646363,-6.952415302890403e-11
1218.989598924861,-0.1489440187581858,1218.989598924861,-315.4784181917322,1218.989598924861,-127.4207388993889,1218.989598924861,-6.984430974780228e-11
1221.799660164866,-0.1489440187585183,1221.799660164866,-315.4384245858932,1221.799660164866,-127.4007388994733,1221.799660164866,-7.017025243149992e-11
1224.616199265043,-0.1489440187588598,1224.616199265043,-315.3984309506883,1224.616199265043,-127.3807388995583,1224.616199265043,-7.04933021327979e-11
1227.439231158402,-0.1489440187592139,1227.439231158402,-315.3584372862459,1227.439231158402,-127.3607388996437,1227.439231158402,-7.081828048902899e-11
1230.268770812376,-0.1489440187595445,1230.268770812376,-315.3184435927066,1230.268770812376,-127.3407388997296,1230.268770812376,-7.114229451779355e-11
1233.104833228904,-0.1489440187599153,1233.104833228904,-315.2784498702023,1233.104833228904,-127.320738899816,1233.104833228904,-7.14740231662906e-11
1235.947433444505,-0.1489440187602341,1235.947433444505,-315.2384561188633,1235.947433444505,-127.3007388999029,1235.947433444505,-7.179996584998831e-11
1238.796586530364,-0.1489440187605696,1238.796586530364,-315.1984623388272,1238.796586530364,-127.2807388999902,1238.796586530364,-7.213362315341851e-11
1241.652307592405,-0.1489440187609297,1241.652307592405,-315.1584685302219,1241.652307592405,-127.2607389000781,1241.652307592405,-7.246535180191559e-11
1244.514611771379,-0.1489440187612367,1244.514611771379,-315.1184746931768,1244.514611771379,-127.2407389001664,1244.514611771379,-7.279997343281238e-11
1247.383514242937,-0.1489440187615899,1247.383514242937,-315.0784808278256,1247.383514242937,-127.2207389002553,1247.383514242937,-7.313555939117576e-11
1250.259030217714,-0.1489440187619107,1250.259030217714,-315.0384869343004,1250.259030217714,-127.2007389003446,1250.259030217714,-7.347500265940536e-11
1253.14117494141,-0.1489440187622354,1253.14117494141,-314.9984930127255,1253.14117494141,-127.1807389004344,1253.14117494141,-7.3814445927635e-11
1256.029963694869,-0.1489440187625719,1256.029963694869,-314.9584990632317,1256.029963694869,-127.1607389005248,1256.029963694869,-7.415581785079777e-11
1258.925411794161,-0.1489440187629054,1258.925411794161,-314.918505085951,1258.925411794161,-127.1407389006156,1258.925411794161,-7.449718977396056e-11
1261.827534590665,-0.1489440187632242,1261.827534590665,-314.8785110810051,1261.827534590665,-127.120738900707,1261.827534590665,-7.484049035205649e-11
1264.736347471145,-0.1489440187635686,1264.736347471145,-314.8385170485251,1264.736347471145,-127.1007389007988,1264.736347471145,-7.518668391255211e-11
1267.651865857839,-0.1489440187638796,1267.651865857839,-314.7985229886335,1267.651865857839,-127.0807389008912,1267.651865857839,-7.553480612798087e-11
1270.574105208535,-0.1489440187642023,1270.574105208535,-314.75852890146,1270.574105208535,-127.0607389009841,1270.574105208535,-7.588292834340964e-11
1273.503081016655,-0.1489440187645172,1273.503081016655,-314.7185347871268,1273.503081016655,-127.0407389010775,1273.503081016655,-7.623297921377153e-11
1276.438808811337,-0.1489440187648272,1276.438808811337,-314.6785406457632,1276.438808811337,-127.0207389011714,1276.438808811337,-7.658495873906658e-11
1279.381304157518,-0.1489440187651588,1279.381304157518,-314.6385464774891,1279.381304157518,-127.0007389012658,1279.381304157518,-7.693983124676134e-11
1282.330582656015,-0.1489440187654511,1282.330582656015,-314.598552282428,1282.330582656015,-126.9807389013607,1282.330582656015,-7.728988211712328e-11
1285.286659943609,-0.1489440187657915,1285.286659943609,-314.5585580607085,1285.286659943609,-126.9607389014562,1285.286659943609,-7.765054058961742e-11
1288.249551693127,-0.1489440187661084,1288.249551693127,-314.5185638124452,1288.249551693127,-126.9407389015522,1288.249551693127,-7.800830607971189e-11
1291.219273613527,-0.1489440187664214,1291.219273613527,-314.478569537763,1291.219273613527,-126.9207389016487,1291.219273613527,-7.836800022473952e-11
1294.195841449979,-0.1489440187667127,1294.195841449979,-314.438575236787,1294.195841449979,-126.9007389017457,1294.195841449979,-7.872769436976714e-11
1297.179270983949,-0.1489440187670551,1297.179270983949,-314.3985809096318,1297.179270983949,-126.8807389018433,1297.179270983949,-7.909413880706073e-11
1300.169578033283,-0.148944018767368,1300.169578033283,-314.3585865564211,1300.169578033283,-126.8607389019414,1300.169578033283,-7.94586545894212e-11
1303.166778452292,-0.1489440187676545,1303.166778452292,-314.3185921772748,1303.166778452292,-126.84073890204,1303.166778452292,-7.982702768164792e-11
1306.170888131834,-0.1489440187679655,1306.170888131834,-314.2785977723083,1306.170888131834,-126.8207389021391,1306.170888131834,-8.01944364464081e-11
1309.1819229994,-0.1489440187682695,1309.1819229994,-314.2386033416505,1309.1819229994,-126.8007389022388,1309.1819229994,-8.056377386610143e-11
1312.199899019196,-0.1489440187685727,1312.199899019196,-314.1986088854068,1312.199899019196,-126.780738902339,1312.199899019196,-8.09350399407279e-11
1315.224832192231,-0.1489440187688846,1315.224832192231,-314.1586144037026,1315.224832192231,-126.7607389024398,1315.224832192231,-8.130823467028751e-11
1318.2567385564,-0.1489440187691937,1318.2567385564,-314.118619896646,1318.2567385564,-126.7407389025411,1318.2567385564,-8.168335805478026e-11
1321.295634186567,-0.1489440187694576,1321.295634186567,-314.0786253643668,1321.295634186567,-126.720738902643,1321.295634186567,-8.20642674040724e-11
1324.341535194657,-0.1489440187697617,1324.341535194657,-314.0386308069662,1324.341535194657,-126.7007389027454,1324.341535194657,-8.244131944349831e-11
1327.394457729732,-0.1489440187700619,1327.394457729732,-313.9986362245728,1327.394457729732,-126.6807389028484,1327.394457729732,-8.282222879279047e-11
1330.454417978083,-0.1489440187703316,1330.454417978083,-313.9586416172956,1330.454417978083,-126.6607389029519,1330.454417978083,-8.320024515968298e-11
1333.521432163316,-0.1489440187706397,1333.521432163316,-313.9186469852473,1333.521432163316,-126.6407389030559,1333.521432163316,-8.358694047377456e-11
1336.595516546434,-0.1489440187709291,1336.595516546434,-313.8786523285414,1336.595516546434,-126.6207389031606,1336.595516546434,-8.397460011533272e-11
1339.676687425927,-0.1489440187712293,1339.676687425927,-313.838657647295,1339.676687425927,-126.6007389032657,1339.676687425927,-8.436033110195778e-11
1342.764961137855,-0.1489440187714961,1342.764961137855,-313.7986629416148,1342.764961137855,-126.5807389033715,1342.764961137855,-8.474991939844909e-11
1345.86035405594,-0.1489440187717933,1345.86035405594,-313.7586682116229,1345.86035405594,-126.5607389034778,1345.86035405594,-8.5140472022407e-11
1348.962882591645,-0.1489440187720876,1348.962882591645,-313.7186734574212,1348.962882591645,-126.5407389035847,1348.962882591645,-8.553488195623117e-11
1352.072563194268,-0.1489440187723878,1352.072563194268,-313.6786786791255,1352.072563194268,-126.5207389036921,1352.072563194268,-8.592929189005535e-11
1355.189412351027,-0.1489440187726743,1355.189412351027,-313.6386838768423,1355.189412351027,-126.5007389038001,1355.189412351027,-8.632755913374582e-11
1358.313446587145,-0.1489440187729607,1358.313446587145,-313.5986890506898,1358.313446587145,-126.4807389039087,1358.313446587145,-8.672196906757004e-11
1361.444682465941,-0.1489440187732246,1361.444682465941,-313.5586942007716,1361.444682465941,-126.4607389040179,1361.444682465941,-8.71260222760599e-11
1364.583136588915,-0.1489440187735209,1364.583136588915,-313.5186993271989,1364.583136588915,-126.4407389041276,1364.583136588915,-8.752428951975041e-11
1367.72882559584,-0.1489440187738034,1367.72882559584,-313.4787044300768,1367.72882559584,-126.4207389042379,1367.72882559584,-8.793220003810659e-11
1370.881766164844,-0.1489440187740624,1370.881766164844,-313.4387095095172,1370.881766164844,-126.4007389043488,1370.881766164844,-8.83362532465965e-11
1374.041975012506,-0.1489440187743528,1374.041975012506,-313.3987145656282,1374.041975012506,-126.3807389044603,1374.041975012506,-8.874512809241926e-11
1377.209468893937,-0.1489440187746177,1377.209468893937,-313.3587195985129,1377.209468893937,-126.3607389045723,1377.209468893937,-8.915593159317516e-11
1380.384264602875,-0.1489440187749022,1380.384264602875,-313.3187246082837,1380.384264602875,-126.340738904685,1380.384264602875,-8.956673509393109e-11
1383.566378971771,-0.1489440187751896,1383.566378971771,-313.2787295950403,1383.566378971771,-126.3207389047982,1383.566378971771,-8.998043157708673e-11
1386.755828871879,-0.1489440187754368,1386.755828871879,-313.2387345588942,1386.755828871879,-126.300738904912,1386.755828871879,-9.039412806024239e-11
1389.952631213343,-0.1489440187757291,1389.952631213343,-313.1987394999456,1389.952631213343,-126.2807389050265,1389.952631213343,-9.080975319833118e-11
1393.156802945293,-0.1489440187760038,1393.156802945293,-313.1587444183008,1393.156802945293,-126.2607389051415,1393.156802945293,-9.122923564628628e-11
1396.368361055927,-0.1489440187762824,1396.368361055927,-313.1187493140678,1396.368361055927,-126.2407389052571,1396.368361055927,-9.165064674917449e-11
